	CORE	ACCESSORY	UNIQUE
[D] Cell cycle control, cell division, chromosome partitioning	1.5120636381566	1.14138256165947	0.697836706210747
[M] Cell wall/membrane/envelope biogenesis	4.33896522253632	5.40916083569054	6.57960322998704
[N] Cell motility	2.5639339951351	1.78651183564091	1.59505532848171
[O] Post-translational modification, protein turnover, and chaperones	3.87877194135823	1.93538782194432	1.89412820257203
[T] Signal transduction mechanisms	4.27322332522517	5.30991017815493	4.18702023726448
[U] Intracellular trafficking, secretion, and vesicular transport	1.97225691933469	1.38950920549849	0.398763832120427
[V] Defense mechanisms	0.460193281178095	2.58051709592576	4.4860931113548
[J] Translation, ribosomal structure and biogenesis	9.00663993162843	1.04213190412386	0.59814574818064
[K] Transcription	6.50844783380448	7.9896779316163	8.67311334861928
[L] Replication, recombination and repair	5.32509368220367	5.21065952061932	10.6669325092214
[C] Energy production and conversion	4.93064229833673	6.4512927398144	3.88794736317416
[G] Carbohydrate transport and metabolism	4.93064229833673	10.322068383703	9.47064101286013
[E] Amino acid transport and metabolism	10.1242521859181	9.6769391097216	10.1684777190709
[F] Nucleotide transport and metabolism	3.28709486555782	0.992506575356062	0.797527664240853
[H] Coenzyme transport and metabolism	5.52231937413714	2.63014242469356	1.4953643704516
[I] Lipid transport and metabolism	2.82690158437973	3.82115031512084	3.78825640514405
[Q] Secondary metabolites biosynthesis, transport, and catabolism	1.31483794622313	2.77901841099697	2.89103778287309
[P] Inorganic ion transport and metabolism	4.33896522253632	7.59267530147387	7.27743993619779
[R] General function prediction only	12.7539280783643	12.4559575207186	13.5579702920945
[S] Function unknown	10.1242521859181	9.47843779465039	6.87867610407736
