MAJOR_KEGG_CATEGORY	KEGG SUB-CATEGORY	KEGG PATHWAY	CORE	ACCESSORY	UNIQUE
Cellular_Processes	Cell_growth_and_death	04110 Cell cycle [PATH:ko04110]	0	0	1
		04111 Cell cycle - yeast [PATH:ko04111]	0	0	1
		04112 Cell cycle - Caulobacter [PATH:ko04112]	10	3	3
		04113 Meiosis - yeast [PATH:ko04113]	0	0	1
		04114 Oocyte meiosis [PATH:ko04114]	0	0	1
		04115 p53 signaling pathway [PATH:ko04115]	0	0	0
		04210 Apoptosis [PATH:ko04210]	0	0	0
	Cell_motility	02030 Bacterial chemotaxis [PATH:ko02030]	15	13	4
		02040 Flagellar assembly [PATH:ko02040]	21	14	10
		04810 Regulation of actin cytoskeleton [PATH:ko04810]	0	0	0
	Cellular_commiunity	04510 Focal adhesion [PATH:ko04510]	0	0	0
		04520 Adherens junction [PATH:ko04520]	0	0	0
		04530 Tight junction [PATH:ko04530]	0	0	1
		04540 Gap junction [PATH:ko04540]	0	0	0
		04550 Signaling pathways regulating pluripotency of stem cells [PATH:ko04550]	0	0	0
	Transport_and_catabolism	04140 Regulation of autophagy [PATH:ko04140]	0	0	0
		04142 Lysosome [PATH:ko04142]	0	0	1
		04144 Endocytosis [PATH:ko04144]	0	0	0
		04145 Phagosome [PATH:ko04145]	0	0	0
		04146 Peroxisome [PATH:ko04146]	4	11	2
Environmental_Information_Processing	Membrane_transport	02010 ABC transporters [PATH:ko02010]	43	133	59
		02060 Phosphotransferase system (PTS) [PATH:ko02060]	3	20	9
		03070 Bacterial secretion system [PATH:ko03070]	11	9	2
	Signal_transduction	02020 Two-component system [PATH:ko02020]	39	70	28
		04010 MAPK signaling pathway [PATH:ko04010]	0	0	0
		04011 MAPK signaling pathway - yeast [PATH:ko04011]	0	1	0
		04012 ErbB signaling pathway [PATH:ko04012]	0	0	0
		04013 MAPK signaling pathway - fly [PATH:ko04013]	0	0	0
		04014 Ras signaling pathway [PATH:ko04014]	0	0	1
		04015 Rap1 signaling pathway [PATH:ko04015]	0	0	0
		04020 Calcium signaling pathway [PATH:ko04020]	0	0	0
		04022 cGMP - PKG signaling pathway [PATH:ko04022]	0	0	0
		04024 cAMP signaling pathway [PATH:ko04024]	0	0	0
		04064 NF-kappa B signaling pathway [PATH:ko04064]	0	0	0
		04066 HIF-1 signaling pathway [PATH:ko04066]	3	5	4
		04068 FoxO signaling pathway [PATH:ko04068]	1	2	0
