Number of genomes	Core genome
1	3245	#
1	3320	#
1	3404	#
1	2914	#
1	3122	#
1	3273	#
1	2730	#
1	2635	#
1	3173	#
1	3189	#
2	2231	#
2	2515	#
2	2503	#
2	2141	#
2	2626	#
2	2517	#
2	2426	#
2	2687	#
2	2573	#
2	2295	#
2	2264	#
2	2249	#
2	2537	#
2	2245	#
2	2430	#
2	2546	#
2	2181	#
2	2537	#
2	2246	#
2	2355	#
2	2234	#
3	2097	#
3	2366	#
3	2105	#
3	2026	#
3	2131	#
3	2351	#
3	2321	#
3	1870	#
3	2193	#
3	2187	#
3	1947	#
3	2211	#
3	2097	#
3	2121	#
3	1970	#
3	2307	#
3	2013	#
3	2294	#
3	1928	#
3	2148	#
3	2261	#
4	2003	#
4	2237	#
4	2262	#
4	2028	#
4	1858	#
4	2012	#
4	1939	#
4	2179	#
4	2002	#
4	2156	#
4	2214	#
4	2074	#
4	1827	#
4	2219	#
4	2168	#
4	1852	#
4	2224	#
4	2049	#
4	2030	#
4	2201	#
4	2024	#
5	1950	#
5	1767	#
5	1927	#
5	1915	#
5	1913	#
5	1740	#
5	2156	#
5	1780	#
5	1920	#
5	1934	#
5	1913	#
5	1868	#
5	1740	#
5	1949	#
5	1986	#
5	1801	#
5	2146	#
5	1777	#
5	1941	#
5	1742	#
5	1961	#
6	2079	#
6	1860	#
6	1831	#
6	1925	#
6	1732	#
6	1918	#
6	1746	#
6	1747	#
6	1768	#
6	1759	#
6	1895	#
6	1756	#
6	1741	#
6	1926	#
6	1763	#
6	1739	#
6	1897	#
6	1748	#
6	1899	#
6	1756	#
6	1749	#
7	1867	#
7	1723	#
7	1837	#
7	1887	#
7	1722	#
7	2021	#
7	1841	#
7	1714	#
7	1701	#
7	1708	#
7	2062	#
7	1860	#
7	1909	#
7	1913	#
7	1695	#
7	1827	#
7	1704	#
7	1729	#
7	1703	#
7	1700	#
7	2051	#
8	1880	#
8	1707	#
8	1816	#
8	1822	#
8	1680	#
8	1866	#
8	1706	#
8	1700	#
8	1692	#
8	1695	#
8	1690	#
8	1703	#
8	1683	#
8	1822	#
8	1676	#
8	1866	#
8	1688	#
8	1689	#
8	2017	#
8	1664	#
8	1706	#
9	1678	#
9	1669	#
9	1792	#
9	1675	#
9	1679	#
9	1670	#
9	1652	#
9	1670	#
9	1840	#
9	1663	#
10	1651	#
	#
