Number of genomes	Pan genome
1	3245	#
1	3320	#
1	3404	#
1	2914	#
1	3122	#
1	3273	#
1	2730	#
1	2635	#
1	3173	#
1	3189	#
2	3577	#
2	3927	#
2	4023	#
2	3767	#
2	3741	#
2	4132	#
2	4020	#
2	3806	#
2	3936	#
2	3892	#
2	3691	#
2	3575	#
2	3774	#
2	3794	#
2	3965	#
2	4178	#
2	3368	#
2	3925	#
2	3398	#
2	3620	#
2	3685	#
3	4231	#
3	4372	#
3	4134	#
3	4386	#
3	4115	#
3	4300	#
3	4131	#
3	4192	#
3	4346	#
3	4498	#
3	3913	#
3	4323	#
3	4126	#
3	3946	#
3	3854	#
3	4443	#
3	4296	#
3	4374	#
3	3857	#
3	4041	#
3	4510	#
4	4389	#
4	4909	#
4	4677	#
4	4628	#
4	4202	#
4	4771	#
4	4684	#
4	4582	#
4	4436	#
4	4878	#
4	4527	#
4	4461	#
4	4438	#
4	4830	#
4	4763	#
4	4326	#
4	4717	#
4	4749	#
4	4416	#
4	4588	#
4	4803	#
5	4830	#
5	4980	#
5	5107	#
5	4912	#
5	4992	#
5	4860	#
5	5067	#
5	4688	#
5	4975	#
5	4915	#
5	4848	#
5	5042	#
5	4986	#
5	5020	#
5	4744	#
5	4739	#
5	4962	#
5	4968	#
5	4914	#
5	4886	#
5	4802	#
6	5238	#
6	5173	#
6	5320	#
6	5105	#
6	5284	#
6	5049	#
6	5223	#
6	5159	#
6	5030	#
6	5071	#
6	5376	#
6	5179	#
6	5086	#
6	5309	#
6	5087	#
6	5057	#
6	5323	#
6	5230	#
6	5386	#
6	4960	#
6	5090	#
7	5551	#
7	5487	#
7	5440	#
7	5482	#
7	5440	#
7	5633	#
7	5508	#
7	5460	#
7	5493	#
7	5335	#
7	5618	#
7	5518	#
7	5330	#
7	5497	#
7	5361	#
7	5523	#
7	5406	#
7	5311	#
7	5462	#
7	5484	#
7	5632	#
8	5717	#
8	5489	#
8	5786	#
8	5774	#
8	5729	#
8	5608	#
8	5472	#
8	5675	#
8	5645	#
8	5578	#
8	5653	#
8	5561	#
8	5696	#
8	5765	#
8	5605	#
8	5729	#
8	5559	#
8	5684	#
8	5827	#
8	5729	#
8	5685	#
9	5880	#
9	5831	#
9	5964	#
9	5756	#
9	5879	#
9	5886	#
9	5918	#
9	5869	#
9	5933	#
9	5879	#
10	6064	#
	#
